id,name,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,host_since_year,host_response_rate(%),host_acceptance_rate(%),host_lives_in_the_same_neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,instant_bookable
43947542,"Quick rides to JFK, train station, malls & casino.",within an hour,False,2,True,True,2020,100.0,98.0,True,Jamaica,Queens,40.6773318591,-73.7832746867,Private room,6,2.0,3.0,3.0,210.0,30,1125,30,30,1125,1125,30.0,1125.0,35,False
749496803777210350,Lovely 3 bedroom suite with free parking,within an hour,False,1,True,True,2022,100.0,100.0,True,Flushing,Queens,40.74582,-73.81909,Private room,5,2.0,3.0,3.0,257.0,2,29,2,2,29,29,2.0,29.0,36,False
768344399966300030,"Cozy, quaint 1 bedroom in lovely prewar home!",within an hour,False,3,True,True,2013,100.0,70.0,True,Jamaica,Queens,40.68204,-73.76798,Private room,2,1.0,1.0,1.0,49.0,30,365,30,30,365,365,30.0,365.0,3,False
1095582600306510167,5min from 145st St / 9min from 175 street St,within an hour,False,150,True,True,2014,99.0,88.0,False,Harlem,Manhattan,40.8225566222,-73.9379196322,Private room,1,1.0,1.0,1.0,39.0,30,730,30,30,730,730,30.0,730.0,0,False
3835681,"Great location, new lower rates!!!",within an hour,False,2,True,True,2012,96.0,98.0,False,Ditmars Steinway,Queens,40.7738488427,-73.9190548695,Private room,2,1.0,1.0,1.0,35.0,30,1125,30,30,1125,1125,30.0,1125.0,211,False
1101053548655027903,Renovated in 2024! Private Bedroom@Upper Manhattan,within an hour,False,150,True,True,2014,99.0,88.0,False,Harlem,Manhattan,40.8243138386,-73.9383904658,Private room,1,1.0,1.0,1.0,40.0,30,730,30,30,730,730,30.0,730.0,0,False
737536232375970112,Room share bath & kitchen.,within an hour,True,4,True,False,2022,90.0,99.0,False,Springfield Gardens,Queens,40.68865,-73.74994,Private room,1,1.0,1.0,1.0,55.0,5,365,5,5,1125,1125,5.0,1125.0,15,True
41243309,Bedroom for rent in Upper East Side Manhattan,within an hour,False,2,True,False,2011,86.0,90.0,True,East Harlem,Manhattan,40.79262,-73.93861,Private room,2,1.0,1.0,1.0,45.0,30,31,30,30,31,31,30.0,31.0,39,False
16055506,Private  Studio with private entrance,within an hour,False,1,True,True,2016,100.0,95.0,True,Maspeth,Queens,40.7301,-73.89931,Entire home/apt,2,1.0,1.0,2.0,150.0,30,1125,30,30,1125,1125,30.0,1125.0,125,False
629566753478421585,Private bedroom -3 mins to shopping center,within a few hours,False,133,True,True,2018,91.0,80.0,False,Flushing,Queens,40.75471,-73.83372,Private room,2,1.0,1.0,1.0,36.0,30,1125,30,30,1125,1125,30.0,1125.0,0,False
19328935,💎 HIDDEN GEM CHINATOWN | 8 MIN WALK TO SUBWAY 🚇,within a few hours,False,10,True,True,2013,100.0,95.0,True,Flushing,Queens,40.76005,-73.82285,Entire home/apt,6,1.0,2.0,2.0,125.0,30,1125,30,30,1125,1125,30.0,1125.0,7,True
54353571,New! Beautiful Tiny Home w/Laundry! 24/7 Parking!,within an hour,False,7,True,True,2020,100.0,79.0,True,Flushing,Queens,40.74507,-73.82585,Entire home/apt,2,1.0,1.0,1.0,87.0,30,365,30,30,365,365,30.0,365.0,5,False
9792323,Large Studio midtown east Grand Central,a few days or more,False,7,True,True,2011,0.0,39.0,False,Midtown,Manhattan,40.75161,-73.97109,Entire home/apt,2,1.0,0.0,2.0,125.0,30,365,30,30,365,365,30.0,365.0,12,False
927136297904368080,Hermoso y acogedor apartamento,within an hour,False,2,True,True,2022,100.0,98.0,False,Flushing,Queens,40.72843,-73.81141,Entire home/apt,5,1.0,2.0,3.0,290.0,30,1125,30,30,1125,1125,30.0,1125.0,11,False
36488148,Cozy & Views FULL Studio Riverdale Bronx,within a few hours,False,3,True,True,2015,100.0,98.0,False,Kingsbridge,Bronx,40.87019,-73.90522,Entire home/apt,2,1.0,0.0,1.0,102.0,30,60,30,30,1125,1125,30.0,1125.0,23,False
28149715,"Single Room, NYC Astoria Queens",within an hour,False,2,True,True,2018,100.0,100.0,True,Astoria,Queens,40.7724117087,-73.9289019507,Private room,1,1.0,1.0,1.0,68.0,30,90,30,30,1125,1125,30.0,1125.0,2,True
582137289665171294,"Comfy, sunny, private, full-floor NYC guest suite",within an hour,True,1,True,True,2021,100.0,100.0,True,Ditmars Steinway,Queens,40.77728,-73.90633,Private room,2,1.0,1.0,2.0,175.0,2,21,2,2,1125,1125,2.0,1125.0,79,False
39087293,large Room,within an hour,True,5,True,True,2015,100.0,92.0,False,Laurelton,Queens,40.67242,-73.75004,Private room,1,1.0,1.0,1.0,58.0,31,1125,31,31,1125,1125,31.0,1125.0,2,True
52115109,"Lovely 1 bedroom, spacious and neat.",a few days or more,False,13,True,True,2016,40.0,100.0,True,Astoria,Queens,40.76849,-73.92412,Private room,2,1.0,1.0,1.0,60.0,30,365,30,30,365,365,30.0,365.0,98,True
629553214644339643,3-4Private bedroom -3 mins to shopping center,within a few hours,False,133,True,True,2018,91.0,80.0,False,Flushing,Queens,40.75439,-73.83489,Private room,2,1.0,1.0,1.0,38.0,30,1125,30,30,1125,1125,30.0,1125.0,2,False
908765271587049834,Beautiful Manhattan Duplex,within an hour,False,1,True,True,2011,100.0,95.0,False,Harlem,Manhattan,40.8234507074,-73.9400468412,Entire home/apt,4,2.0,2.0,2.0,418.0,30,30,30,30,1125,1125,30.0,1125.0,0,False
8684074,The Tranquility Room-large & light,within an hour,True,5,True,True,2015,100.0,92.0,False,Laurelton,Queens,40.66953,-73.74621,Private room,4,1.0,1.0,2.0,60.0,31,1125,31,31,1125,1125,31.0,1125.0,51,True
960955897399366037,Beautiful Victorian house,within an hour,True,5,True,True,2015,100.0,92.0,False,Laurelton,Queens,40.6706581454,-73.7472295761,Private room,2,2.0,1.0,1.0,63.0,31,1125,31,31,1125,1125,31.0,1125.0,0,False
2909117,Independent & Private One Double Bed for 2 People.,within a few hours,True,2,True,True,2014,100.0,86.0,True,Richmond Hill,Queens,40.693348,-73.824554,Entire home/apt,2,1.0,1.0,1.0,65.0,30,1125,30,30,1125,1125,30.0,1125.0,24,False
876898135178091460,# 4 Bedroom for one person,within a few hours,False,3,True,True,2017,100.0,100.0,False,Springfield Gardens,Queens,40.6631356638,-73.7538174573,Private room,1,1.0,1.0,1.0,47.0,30,120,30,30,1125,1125,30.0,1125.0,3,True
8817102,Sunlit Bedroom in Forest Hills Apartment,within an hour,False,2,True,True,2012,100.0,25.0,False,Rego Park,Queens,40.73112,-73.8535,Private room,1,1.0,1.0,1.0,50.0,60,180,60,60,180,180,60.0,180.0,3,False
1180157,PRIVATE ROOM (BRIGHT & CLEAN) Manhattan NYC,within a day,False,5,True,True,2012,60.0,73.0,True,East Harlem,Manhattan,40.80427,-73.93834,Private room,1,2.0,1.0,1.0,46.0,30,365,30,30,365,365,30.0,365.0,12,False
756685458967490030,Hidden Garden Condo,within an hour,False,12,True,False,2022,96.0,99.0,False,East Harlem,Manhattan,40.80261,-73.93785,Entire home/apt,4,2.0,2.0,2.0,120.0,30,180,30,30,1125,1125,30.0,1125.0,35,True
761570023840746147,Moon Light! Near to Laguardia Airport!,within an hour,True,2,True,True,2017,100.0,100.0,True,Ditmars Steinway,Queens,40.77545,-73.90763,Private room,1,1.0,1.0,1.0,89.0,30,40,30,30,1125,1125,30.0,1125.0,17,True
51868685,"Cozy room@Queens! Same area W/Target,Costco",within an hour,False,150,True,True,2014,99.0,88.0,False,Rego Park,Queens,40.72436,-73.85759,Private room,2,1.0,1.0,1.0,33.0,30,1125,30,30,1125,1125,30.0,1125.0,0,False
630921135487536795,Industrial Loft Minutes from Midtown,within a few hours,False,1,True,True,2015,100.0,0.0,True,Mott Haven,Bronx,40.81141,-73.92722,Entire home/apt,2,1.0,1.0,1.0,150.0,30,365,30,30,365,365,30.0,365.0,7,False
6476333,1BR in East Harlem apt,within an hour,False,1,True,True,2014,100.0,60.0,True,East Harlem,Manhattan,40.80126,-73.93889,Private room,2,1.0,1.0,1.0,100.0,30,1125,30,30,1125,1125,30.0,1125.0,6,False
52443892,1- Room Renting in Beautiful Apartment Near Subway,within an hour,False,1,True,True,2017,100.0,97.0,True,Astoria,Queens,40.76763,-73.92413,Private room,2,1.0,1.0,0.0,135.0,2,90,2,2,90,90,2.0,90.0,45,False
53736429,Blue Lagoon 1 bd apt 5 mins JFK,within an hour,False,1,True,True,2018,100.0,100.0,False,Springfield Gardens,Queens,40.6733697861,-73.7636499112,Shared room,3,1.0,1.0,2.0,138.0,1,365,1,1,365,365,1.0,365.0,14,True
981559739281052915,Room in Astoria 4BR-2BA APT 3min->N/W 30 Ave Train,a few days or more,False,149,True,True,2023,0.0,0.0,False,Astoria,Queens,40.7660486232,-73.9229985807,Private room,1,1.0,1.0,1.0,101.0,30,365,30,30,365,365,30.0,365.0,0,True
52749770,Luxury Double King Suite | Near Manhattan,within an hour,False,39,True,True,2015,96.0,99.0,False,Port Morris,Bronx,40.809887,-73.93061,Entire home/apt,4,1.0,1.0,1.0,195.0,1,1125,1,30,1125,1125,1.7,1125.0,16,True
765563,Big Comfy Beds & Breakfast on the Deck,within an hour,False,1,True,True,2012,100.0,100.0,True,Bayside,Queens,40.7565,-73.7616,Entire home/apt,6,2.0,3.0,3.0,313.0,30,180,30,30,180,180,30.0,180.0,81,False
43391999,Small Reasonable stay in NYC 3min Subway Grand Ave,within an hour,False,150,True,True,2014,99.0,88.0,True,Elmhurst,Queens,40.73862,-73.87561,Private room,1,1.0,1.0,1.0,30.0,30,1125,30,30,1125,1125,30.0,1125.0,0,False
724285069714184078,Easy access to Manhattan : Nice Condition room,within an hour,False,150,True,True,2014,99.0,88.0,False,Jackson Heights,Queens,40.7515,-73.87841,Private room,1,1.0,1.0,1.0,30.0,30,1125,30,30,1125,1125,30.0,1125.0,1,False
25829582,***WELCOME TO MI CASA TU CASA NEAR JFK/LGA AIRPORT,within an hour,False,2,True,True,2017,100.0,98.0,True,Rego Park,Queens,40.72728,-73.85563,Entire home/apt,2,1.0,0.0,3.0,90.0,30,30,30,30,30,30,30.0,30.0,42,False
919578461959610899,"Economy Room in Bronx, New York",within an hour,False,1,True,True,2021,100.0,94.0,True,Concourse,Bronx,40.8302966,-73.9213391,Shared room,1,1.0,1.0,1.0,35.0,30,365,30,30,1125,1125,30.0,1125.0,1,False
32238694,Midtown 2 Bed Full Kitchen,within an hour,False,5,True,True,2018,97.0,98.0,False,Midtown,Manhattan,40.75337,-73.96616,Entire home/apt,5,1.0,2.0,3.0,466.0,3,1125,2,2,1125,1125,2.0,1125.0,140,False
1034758738622981057,Near Yankee Stadium | Luxury Studio w/Kitchenette,within an hour,False,39,True,True,2015,96.0,99.0,False,Port Morris,Bronx,40.80989,-73.93061,Entire home/apt,2,1.0,1.0,1.0,139.0,1,365,1,30,13,1125,1.5,1119.9,0,True
823240139168836992,Mott Haven Suite | Kitchen | Gym + Workspaces,within an hour,False,39,True,True,2015,96.0,99.0,False,Port Morris,Bronx,40.809887,-73.93061,Entire home/apt,2,1.0,1.0,1.0,139.0,1,365,1,30,13,1125,1.5,1119.9,12,True
